,number,value,datetime_start,datetime_complete,duration,params_augmentation_strength,params_label_smoothing,params_lr_backbone,params_lr_heads_bin,params_lr_heads_multi,params_weight_decay,state
28,28,6.038799667358399,2025-11-25 06:48:42.224269,2025-11-25 06:50:12.288995,0 days 00:01:30.064726,3,0.04815457073051767,1.3087971111019319e-05,1.848753750115214e-05,0.0012539211172007795,0.0003437408444517704,PRUNED
29,29,5.952654933929443,2025-11-25 06:50:52.732494,2025-11-25 06:58:35.909238,0 days 00:07:43.176744,3,0.0251131108297247,2.4298864780482616e-05,0.00013847897496178585,0.009826740452177555,0.0008146108958096036,COMPLETE
30,30,6.025191688537598,2025-11-25 06:58:36.186299,2025-11-25 07:00:05.411220,0 days 00:01:29.224921,5,0.0059792329277122335,3.33475562665737e-05,3.393500780803795e-05,0.005170966043072703,6.170114282103013e-05,PRUNED
31,31,6.052659416198731,2025-11-25 07:00:45.843091,2025-11-25 07:02:12.765195,0 days 00:01:26.922104,3,0.01127078452097033,2.054494470009104e-06,1.0514651647927448e-05,0.0024296301106089837,0.00023975404502352127,PRUNED
32,32,5.960411190986633,2025-11-25 07:02:53.222532,2025-11-25 07:09:31.320496,0 days 00:06:38.097964,3,0.0021500046674644002,3.6554839346695765e-06,6.221315882170786e-05,0.0021417938880923127,0.00010133678310479484,PRUNED
33,33,5.95924437046051,2025-11-25 07:10:11.768010,2025-11-25 07:16:50.602764,0 days 00:06:38.834754,2,0.028351876939471648,2.3960391000791556e-06,0.00017214643575241435,0.003577209191598403,0.00014292652056196442,PRUNED
34,34,6.573168754577637,2025-11-25 07:17:31.007335,2025-11-25 07:18:59.014755,0 days 00:01:28.007420,4,0.015602114850283013,2.5681246546893966e-06,0.00028120131622159456,1.001812247796346e-05,0.0007074532811916883,PRUNED
35,35,6.084247207641601,2025-11-25 07:19:39.397874,2025-11-25 07:21:07.005977,0 days 00:01:27.608103,2,0.03828051904082232,1.8009892197872565e-06,2.927455629578387e-05,0.0007128383534577894,0.00025155585951091815,PRUNED
36,36,6.061182975769043,2025-11-25 07:21:47.456573,2025-11-25 07:23:16.833406,0 days 00:01:29.376833,3,0.12189869404149908,5.69535953666494e-06,1.6287490303605098e-05,0.0069460626847017365,3.3604442594095554e-05,PRUNED
37,37,6.00472583770752,2025-11-25 07:23:57.271016,2025-11-25 07:25:53.364710,0 days 00:01:56.093694,3,0.027209217944992155,1.0081694962205867e-06,6.854449428551772e-05,0.0045023614995366905,1.3455417551449753e-05,PRUNED
38,38,5.997533512115479,2025-11-25 07:26:33.820244,2025-11-25 07:28:29.824606,0 days 00:01:56.004362,4,0.06926198953842287,1.840755568898211e-05,0.00036599502474554826,0.0017476404426028113,0.001028536830373859,PRUNED
